Netflix Id,Title,Imdb Rating,Release Year,Netflix Original,Episode Count,Season Count,Maturity,Maturity Level,Maturity Detail,Image,Movie Type,Imdb Id,Last Day To Watch,Genres,Last Fetch
81004280,Memories of the Alhambra,,2018,True,16.0,1.0,16+,110,violence,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQhmVUydLFRuVzcLf1032Uw-8VO4rHDpiNtLpxphB8ovWesQQN4pVzRGXy9i8NzbPoLB7GPrSyzxvZo_TMwCZeKO7a8UWdahaOnW-BYWK0MsYaXN4uXgQ-OQ2C4uKbcQYw99.jpg?r=5b1,TV Series,,,,
81004470,Animal World,6.4,2018,False,,,16+,110,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABXVZFGZFNuyGHzQ98CslKeKk-MGye3z7NMg4Oh5sDbBYbZTCPhfNLMDkJnyThU2K2d0p9EgNeNjAs4ZVhqTCWXX8IP2WFFjh9MQ.webp?r=fcc,Movie,tt7946836,,"Action,Fantasy,Sci-Fi",2023-03-15
81005091,Love O2O,7.9,2016,False,30.0,1.0,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABaNW3y-WtHgspG2NP252SpMTQxHly16t6gSt8sTby4NhSCrT_oJy6vkIh1Jf5_Dob550lD-QFK49WuZFdJKv-o3gkDiiInXcXfY.webp?r=dbb,TV Series,tt6055498,,"Drama,Romance",2023-03-15
81008021,My Holo Love,,2020,True,12.0,1.0,16+,110,suicide,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABVtNkXMWnBuOgwZndae9Anx-NTRaCdVfhicj8J-vy3r-Tgt8qf_6qIRRhbgTz1Blnz-g3OheuNk01vI1BAGNluSxniHldpzU-9QogiiiUSNUvhwj8USJecckV_YbZVqZYN6Y.jpg?r=700,TV Series,,,,
81008138,Hoops,,2020,True,10.0,1.0,18+,1000,"violence, sex, nudity, language, substances",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABb62Puir3-UI9h9Inc0xkviz9YyKkwOsiEGgp-K4GZx5MtxBe3iO_86dXTMoNLhpOdk_DvwjSSxV1duyKRYMqlrMYiyAi9ArGNFQ-YSHcGPcVqwrVfBwCXtZuBTyUaCSjmSk.jpg?r=26e,TV Series,,,,
81010662,Violet Evergarden: Special,,2018,False,1.0,1.0,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABYFImcqsCFXw7itS2wD6O3anwcfFOD5jaHi3_CvzQmGRJFXfBC73H-oFSvtw5OaukPYGaZW1TCOeoRwfF_BYTRIT2nqfglcMonQ.webp?r=d60,Movie,,,,2023-03-15
81011211,My Name,,2021,True,8.0,1.0,18+,1000,"violence, sex, language, substances",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABYPTc6kxqPurA0AQBp8mNAaVg67vJpvA3oARCAaLaDBUEC2v-kpB3nDz8erbeD88xpgfgMLsixXdY4o0zeIVOhECuJ79LCJSlIRbkOGa2AFpi0UnQZyHAy4GzcyMPu0PqsmW.jpg?r=811,TV Series,,,,
81026181,A Castle For Christmas,,2021,True,,,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABdshS0k-msLj30el4ORrcFu6F9tqqK_uQAc4mus0-3T6ZwxhbNv0mJmjzzz0KaVaIN5Od7B8PjgBQU5FVEuLEHhakw5Ut5jLM1PYpqNBs6nmIfZPGI_sY8GIH_UdXOwPlpTV.jpg?r=842,Movie,,,,
81039113,The Millionaire Detective - Balance: UNLIMITED,7.3,2020,False,11.0,1.0,16+,110,suicide,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQJzzWPHi-WWAJoTel4bDNi-RTgsRSMkhFzH7J0_nfc-dgmg6HPuf0JJnrdtOqsPDRPegkDFEn6W6lelzBhROrS2RekzwzIghQo.webp?r=a0a,TV Series,tt12117218,,"Animation,Crime,Drama",2023-03-15
81045349,Romance Is a Bonus Book,,2019,True,16.0,1.0,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABUoiuzou3DnZmQt61o7QjqCN3Ln17MFLh5PKpvnqNRW0VWMSfCtzLl0ZN6yrZ3Hguk5k0nAyJWpjH9fUBOQhubARse0m02hCZ66hF89qHzGuZIPoeCaGlcyPFKe84ajUtCWA.jpg?r=c06,TV Series,,,,
